Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|O14579|COPE_HUMAN,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,COPE,7.2134E+5,7.6429E+5,8.0717E+5
sp|O43242|PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,PSMD3,4.8732E+5,5.3508E+5,5.3212E+5
sp|O43396|TXNL1_HUMAN,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,TXNL1,4.5940E+5,4.9202E+5,5.1538E+5
sp|O75718|CRTAP_HUMAN,Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1,CRTAP,1.7335E+5,1.9005E+5,1.9051E+5
sp|O94985|CSTN1_HUMAN,Calsyntenin-1 OS=Homo sapiens OX=9606 GN=CLSTN1 PE=1 SV=1,CLSTN1,2.0378E+6,1.9972E+6,1.9314E+6
sp|O95807|TM50A_HUMAN,Transmembrane protein 50A OS=Homo sapiens OX=9606 GN=TMEM50A PE=1 SV=1,TMEM50A,6.4088E+4,5.2291E+4,5.2314E+4
sp|P01023|A2MG_HUMAN,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3,A2M,5.3390E+7,5.1929E+7,5.3792E+7
sp|P12814|ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1,3.9371E+7,3.8158E+7,3.8208E+7
sp|P19022|CADH2_HUMAN,Cadherin-2 OS=Homo sapiens OX=9606 GN=CDH2 PE=1 SV=4,CDH2,1.7530E+4,2.0067E+4,1.5053E+4
sp|P19256|LFA3_HUMAN,Lymphocyte function-associated antigen 3 OS=Homo sapiens OX=9606 GN=CD58 PE=1 SV=1,CD58,2.1842E+5,2.2166E+5,2.2603E+5
sp|P30203|CD6_HUMAN,T-cell differentiation antigen CD6 OS=Homo sapiens OX=9606 GN=CD6 PE=1 SV=3,CD6,1.5872E+3,1.5623E+4,1.7095E+4
sp|P31943|HNRH1_HUMAN,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,HNRNPH1,6.8465E+4,8.3370E+4,7.2009E+4
sp|P35228|NOS2_HUMAN,"Nitric oxide synthase, inducible OS=Homo sapiens OX=9606 GN=NOS2 PE=1 SV=2",NOS2,4.5725E+4,3.5981E+4,#N/A
sp|P36507|MP2K2_HUMAN,Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,MAP2K2,1.2099E+5,1.3690E+5,1.2396E+5
sp|P47900|P2RY1_HUMAN,P2Y purinoceptor 1 OS=Homo sapiens OX=9606 GN=P2RY1 PE=1 SV=1,P2RY1,2.8101E+4,2.8856E+4,4.1070E+4
sp|P59998|ARPC4_HUMAN,Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3,ARPC4,2.1646E+6,2.1438E+6,2.1802E+6
sp|P61457|PHS_HUMAN,Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens OX=9606 GN=PCBD1 PE=1 SV=2,PCBD1,1.0017E+4,9.6741E+3,1.7358E+4
sp|Q08830|FGL1_HUMAN,Fibrinogen-like protein 1 OS=Homo sapiens OX=9606 GN=FGL1 PE=1 SV=3,FGL1,2.9571E+5,1.9615E+5,1.1475E+5
sp|Q13610|PWP1_HUMAN,Periodic tryptophan protein 1 homolog OS=Homo sapiens OX=9606 GN=PWP1 PE=1 SV=1,PWP1,4.6487E+3,7.0420E+3,7.0797E+3
sp|Q14554|PDIA5_HUMAN,Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1,PDIA5,4.7257E+6,4.8998E+6,4.7450E+6
sp|Q15049|MLC1_HUMAN,Membrane protein MLC1 OS=Homo sapiens OX=9606 GN=MLC1 PE=1 SV=5,MLC1,3.2500E+4,2.3631E+4,4.2231E+4
sp|Q16851|UGPA_HUMAN,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5,UGP2,1.3565E+6,1.3493E+6,1.3663E+6
sp|Q3SXM5|HSDL1_HUMAN,Inactive hydroxysteroid dehydrogenase-like protein 1 OS=Homo sapiens OX=9606 GN=HSDL1 PE=1 SV=3,HSDL1,3.1705E+5,2.6631E+5,3.0698E+5
sp|Q86YB8|ERO1B_HUMAN,ERO1-like protein beta OS=Homo sapiens OX=9606 GN=ERO1B PE=1 SV=2,ERO1B,5.3560E+4,6.4993E+4,6.1931E+4
sp|Q8TEB9|RHBL4_HUMAN,Rhomboid-related protein 4 OS=Homo sapiens OX=9606 GN=RHBDD1 PE=1 SV=1,RHBDD1,5.9521E+4,9.8809E+4,8.1066E+4
sp|Q92538|GBF1_HUMAN,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=3,GBF1,2.4891E+5,2.8695E+5,2.8442E+5
sp|Q96E17|RAB3C_HUMAN,Ras-related protein Rab-3C OS=Homo sapiens OX=9606 GN=RAB3C PE=1 SV=1,RAB3C,1.8973E+5,2.0878E+5,2.0644E+5
sp|Q96NB2|SFXN2_HUMAN,Sideroflexin-2 OS=Homo sapiens OX=9606 GN=SFXN2 PE=1 SV=2,SFXN2,4.3089E+4,2.3571E+4,3.4786E+4
sp|Q99418|CYH2_HUMAN,Cytohesin-2 OS=Homo sapiens OX=9606 GN=CYTH2 PE=1 SV=2,CYTH2,2.7557E+5,2.7915E+5,2.2915E+5
sp|Q99501|GA2L1_HUMAN,GAS2-like protein 1 OS=Homo sapiens OX=9606 GN=GAS2L1 PE=1 SV=2,GAS2L1,1.0150E+6,1.1405E+6,9.8461E+5
sp|Q9BXS5|AP1M1_HUMAN,AP-1 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP1M1 PE=1 SV=3,AP1M1,2.5132E+5,2.7904E+5,3.1427E+5
sp|Q9H9B4|SFXN1_HUMAN,Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=4,SFXN1,7.4650E+5,7.3434E+5,7.0365E+5
sp|Q9P225|DYH2_HUMAN,Dynein axonemal heavy chain 2 OS=Homo sapiens OX=9606 GN=DNAH2 PE=1 SV=3,DNAH2,1.1829E+4,1.4673E+4,1.0022E+4
sp|Q9UGP4|LIMD1_HUMAN,LIM domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMD1 PE=1 SV=1,LIMD1,4.9433E+5,4.9003E+5,5.4177E+5
sp|Q9UHD8|SEPT9_HUMAN,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,SEPTIN9,3.0362E+5,2.6341E+5,3.2028E+5
sp|Q9Y5K6|CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,CD2AP,8.0018E+5,7.1891E+5,7.7987E+5
sp|O60279|SUSD5_HUMAN,Sushi domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SUSD5 PE=1 SV=3,SUSD5,2.5179E+6,2.3915E+6,2.3879E+6
sp|P04632|CPNS1_HUMAN,Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1,CAPNS1,3.6861E+6,3.7559E+6,3.8262E+6
sp|P07711|CATL1_HUMAN,Procathepsin L OS=Homo sapiens OX=9606 GN=CTSL PE=1 SV=2,CTSL,2.4391E+4,3.5600E+4,3.3083E+4
sp|P09496|CLCA_HUMAN,Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1,CLTA,7.4410E+5,8.3382E+5,1.0410E+6
sp|P12694|ODBA_HUMAN,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHA PE=1 SV=2",BCKDHA,7.7570E+3,3.5820E+4,1.2293E+4
sp|P13693|TCTP_HUMAN,Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1,TPT1,4.3535E+5,4.4131E+5,5.5848E+5
sp|P15169|CBPN_HUMAN,Carboxypeptidase N catalytic chain OS=Homo sapiens OX=9606 GN=CPN1 PE=1 SV=1,CPN1,1.4649E+7,1.4215E+7,1.4429E+7
sp|P22352|GPX3_HUMAN,Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2,GPX3,9.7556E+6,9.0530E+6,9.0733E+6
sp|P78509|RELN_HUMAN,Reelin OS=Homo sapiens OX=9606 GN=RELN PE=1 SV=3,RELN,3.9019E+6,3.9034E+6,3.9121E+6
sp|P98172|EFNB1_HUMAN,Ephrin-B1 OS=Homo sapiens OX=9606 GN=EFNB1 PE=1 SV=1,EFNB1,3.8310E+5,3.8153E+5,3.6256E+5
sp|Q07812|BAX_HUMAN,Apoptosis regulator BAX OS=Homo sapiens OX=9606 GN=BAX PE=1 SV=1,BAX,5.4051E+5,5.9849E+5,5.5091E+5
sp|Q12815|TROAP_HUMAN,Tastin OS=Homo sapiens OX=9606 GN=TROAP PE=1 SV=3,TROAP,#N/A,#N/A,#N/A
sp|Q13322|GRB10_HUMAN,Growth factor receptor-bound protein 10 OS=Homo sapiens OX=9606 GN=GRB10 PE=1 SV=2,GRB10,3.8440E+4,4.7854E+4,3.8995E+4
sp|Q16820|MEP1B_HUMAN,Meprin A subunit beta OS=Homo sapiens OX=9606 GN=MEP1B PE=1 SV=3,MEP1B,2.4220E+5,2.1706E+5,3.2526E+6
sp|Q674X7|KAZRN_HUMAN,Kazrin OS=Homo sapiens OX=9606 GN=KAZN PE=1 SV=2,KAZN,1.3369E+4,1.6342E+4,1.6022E+4
sp|Q6ICG6|K0930_HUMAN,Uncharacterized protein KIAA0930 OS=Homo sapiens OX=9606 GN=KIAA0930 PE=1 SV=1,KIAA0930,#N/A,7.0267E+3,#N/A
sp|Q6UX07|DHR13_HUMAN,Dehydrogenase/reductase SDR family member 13 OS=Homo sapiens OX=9606 GN=DHRS13 PE=1 SV=1,DHRS13,3.0444E+4,3.3280E+4,2.7141E+4
sp|Q7L5D6|GET4_HUMAN,Golgi to ER traffic protein 4 homolog OS=Homo sapiens OX=9606 GN=GET4 PE=1 SV=1,GET4,1.7460E+4,1.6223E+4,1.6150E+4
sp|Q8N5C1|CAHM5_HUMAN,Calcium homeostasis modulator protein 5 OS=Homo sapiens OX=9606 GN=CALHM5 PE=1 SV=1,CALHM5,9.3053E+4,9.1006E+4,8.7126E+4
sp|Q8N6L1|KTAP2_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2 OS=Homo sapiens OX=9606 GN=KRTCAP2 PE=1 SV=2,KRTCAP2,1.7264E+4,1.1444E+4,9.1706E+3
sp|Q8TCF1|ZFAN1_HUMAN,AN1-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=ZFAND1 PE=1 SV=1,ZFAND1,1.2455E+5,8.2261E+4,1.1959E+5
sp|Q8TD19|NEK9_HUMAN,Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,NEK9,6.3954E+5,6.5284E+5,6.6953E+5
sp|Q8TEA8|DTD1_HUMAN,D-aminoacyl-tRNA deacylase 1 OS=Homo sapiens OX=9606 GN=DTD1 PE=1 SV=2,DTD1,1.8764E+5,1.7956E+5,2.0284E+5
sp|Q96CW1|AP2M1_HUMAN,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1,6.8036E+3,1.1405E+4,9.3678E+3
sp|Q96M96|FGD4_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=FGD4 PE=1 SV=2",FGD4,3.6072E+5,3.8226E+5,3.9994E+5
sp|Q9BXJ0|C1QT5_HUMAN,Complement C1q tumor necrosis factor-related protein 5 OS=Homo sapiens OX=9606 GN=C1QTNF5 PE=1 SV=1,C1QTNF5,6.2573E+3,3.9827E+3,#N/A
sp|Q9NS28|RGS18_HUMAN,Regulator of G-protein signaling 18 OS=Homo sapiens OX=9606 GN=RGS18 PE=1 SV=1,RGS18,1.2493E+6,1.2708E+6,1.3380E+6
sp|Q9UJU6|DBNL_HUMAN,Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL PE=1 SV=1,DBNL,6.6053E+6,6.6162E+6,6.6815E+6
sp|Q9UNA4|POLI_HUMAN,DNA polymerase iota OS=Homo sapiens OX=9606 GN=POLI PE=1 SV=3,POLI,#N/A,#N/A,#N/A
sp|Q9Y2D4|EXC6B_HUMAN,Exocyst complex component 6B OS=Homo sapiens OX=9606 GN=EXOC6B PE=1 SV=3,EXOC6B,1.3265E+5,1.2841E+5,1.3593E+5
sp|Q9Y4G8|RPGF2_HUMAN,Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1,RAPGEF2,1.1613E+5,1.1843E+5,1.3196E+5
sp|O43488|ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3,AKR7A2,1.7964E+6,1.8843E+6,1.8465E+6
sp|O94766|B3GA3_HUMAN,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens OX=9606 GN=B3GAT3 PE=1 SV=2,B3GAT3,5.6077E+4,6.7523E+4,5.3650E+4
sp|P00746|CFAD_HUMAN,Complement factor D OS=Homo sapiens OX=9606 GN=CFD PE=1 SV=5,CFD,4.0122E+5,3.6931E+5,3.2308E+5
sp|P10768|ESTD_HUMAN,S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2,ESD,5.7569E+5,6.0879E+5,5.4607E+5
sp|P14314|GLU2B_HUMAN,Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2,PRKCSH,9.6805E+6,9.3961E+6,1.0490E+7
sp|P17568|NDUB7_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFB7 PE=1 SV=4,NDUFB7,1.6425E+5,1.4560E+5,1.7693E+5
sp|Q01813|PFKAP_HUMAN,"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2",PFKP,6.6066E+6,6.8465E+6,6.5352E+6
sp|Q13813|SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,1.5708E+6,1.4618E+6,1.3606E+6
sp|Q14160|SCRIB_HUMAN,Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=6,SCRIB,2.3620E+4,3.0194E+4,2.2692E+4
sp|Q17RC7|EX3L4_HUMAN,Exocyst complex component 3-like protein 4 OS=Homo sapiens OX=9606 GN=EXOC3L4 PE=1 SV=2,EXOC3L4,5.3975E+5,5.8244E+5,5.6307E+5
sp|Q53EL6|PDCD4_HUMAN,Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,PDCD4,1.8410E+4,1.2243E+4,#N/A
sp|Q6ZVK8|NUD18_HUMAN,8-oxo-dGDP phosphatase NUDT18 OS=Homo sapiens OX=9606 GN=NUDT18 PE=1 SV=3,NUDT18,4.3689E+4,5.5622E+4,4.6164E+4
sp|Q7Z401|MYCPP_HUMAN,C-myc promoter-binding protein OS=Homo sapiens OX=9606 GN=DENND4A PE=1 SV=2,DENND4A,1.9597E+5,1.7846E+5,2.4295E+5
sp|Q86SZ2|TPC6B_HUMAN,Trafficking protein particle complex subunit 6B OS=Homo sapiens OX=9606 GN=TRAPPC6B PE=1 SV=1,TRAPPC6B,4.8660E+4,5.9335E+4,5.1689E+4
sp|Q8N5K1|CISD2_HUMAN,CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CISD2 PE=1 SV=1,CISD2,4.8391E+5,4.0104E+5,4.5975E+5
sp|Q8TC12|RDH11_HUMAN,Retinol dehydrogenase 11 OS=Homo sapiens OX=9606 GN=RDH11 PE=1 SV=2,RDH11,3.6979E+6,3.5020E+6,3.6365E+6
sp|Q8WUA8|TSK_HUMAN,Tsukushi OS=Homo sapiens OX=9606 GN=TSKU PE=1 SV=3,TSKU,1.4434E+5,1.6695E+5,1.4718E+5
sp|Q96IC2|REXO5_HUMAN,RNA exonuclease 5 OS=Homo sapiens OX=9606 GN=REXO5 PE=1 SV=1,REXO5,9.6970E+4,1.1467E+5,9.6889E+4
sp|Q96IY4|CBPB2_HUMAN,Carboxypeptidase B2 OS=Homo sapiens OX=9606 GN=CPB2 PE=1 SV=2,CPB2,9.7875E+5,8.0911E+5,8.1493E+5
sp|Q96S06|LMF1_HUMAN,Lipase maturation factor 1 OS=Homo sapiens OX=9606 GN=LMF1 PE=1 SV=1,LMF1,1.2988E+4,4.5269E+3,1.1470E+4
sp|Q99436|PSB7_HUMAN,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,PSMB7,8.7962E+5,7.4197E+5,9.0397E+5
sp|Q99567|NUP88_HUMAN,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,NUP88,2.8581E+3,1.9913E+3,3.2528E+3
sp|Q9BTU6|P4K2A_HUMAN,Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens OX=9606 GN=PI4K2A PE=1 SV=1,PI4K2A,4.8564E+4,2.9025E+4,2.4429E+4
sp|Q9HD89|RETN_HUMAN,Resistin OS=Homo sapiens OX=9606 GN=RETN PE=1 SV=1,RETN,1.5842E+5,8.0132E+4,1.0785E+5
sp|Q9NX14|NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB11 PE=1 SV=1",NDUFB11,1.3500E+5,1.2025E+5,1.4941E+5
sp|Q9P289|STK26_HUMAN,Serine/threonine-protein kinase 26 OS=Homo sapiens OX=9606 GN=STK26 PE=1 SV=2,STK26,2.5707E+5,2.6004E+5,3.2259E+5
sp|Q9UIJ7|KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4",AK3,2.1530E+6,2.0806E+6,2.0295E+6
sp|Q9UIM3|FKBPL_HUMAN,FK506-binding protein-like OS=Homo sapiens OX=9606 GN=FKBPL PE=1 SV=1,FKBPL,#N/A,#N/A,#N/A
sp|A0A075B6S2|KVD29_HUMAN / sp|A2NJV5|KV229_HUMAN,"Immunoglobulin kappa variable 2D-29 OS=Homo sapiens OX=9606 GN=IGKV2D-29 PE=1 SV=1
Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=1 SV=2",IGKV2D-29 / IGKV2-29,5.5765E+6,5.7889E+6,6.1172E+6
sp|O14713|ITBP1_HUMAN,Integrin beta-1-binding protein 1 OS=Homo sapiens OX=9606 GN=ITGB1BP1 PE=1 SV=1,ITGB1BP1,1.7315E+3,#N/A,7.0787E+2
sp|O95866|G6B_HUMAN,Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1,MPIG6B,8.7584E+6,8.9934E+6,9.4243E+6
sp|P07307|ASGR2_HUMAN,Asialoglycoprotein receptor 2 OS=Homo sapiens OX=9606 GN=ASGR2 PE=1 SV=2,ASGR2,#N/A,3.5587E+3,2.3421E+3
sp|P10721|KIT_HUMAN,Mast/stem cell growth factor receptor Kit OS=Homo sapiens OX=9606 GN=KIT PE=1 SV=1,KIT,4.0259E+5,4.2030E+5,3.8743E+5
sp|P13762|DRB4_HUMAN,"HLA class II histocompatibility antigen, DR beta 4 chain OS=Homo sapiens OX=9606 GN=HLA-DRB4 PE=1 SV=2",HLA-DRB4,#N/A,#N/A,#N/A
sp|P13796|PLSL_HUMAN,Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,LCP1,9.4702E+5,8.9827E+5,9.6986E+5
sp|P21397|AOFA_HUMAN,Amine oxidase [flavin-containing] A OS=Homo sapiens OX=9606 GN=MAOA PE=1 SV=1,MAOA,3.3825E+5,4.7532E+5,3.4790E+5
sp|P22695|QCR2_HUMAN,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",UQCRC2,2.1157E+6,2.0883E+6,2.0105E+6
sp|P23219|PGH1_HUMAN,Prostaglandin G/H synthase 1 OS=Homo sapiens OX=9606 GN=PTGS1 PE=1 SV=2,PTGS1,8.1682E+6,8.0065E+6,7.4630E+6
sp|P57105|SYJ2B_HUMAN,Synaptojanin-2-binding protein OS=Homo sapiens OX=9606 GN=SYNJ2BP PE=1 SV=2,SYNJ2BP,5.7596E+4,7.3104E+4,4.9051E+4
sp|P61970|NTF2_HUMAN,Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,NUTF2,1.4002E+5,1.3626E+5,1.4630E+5
sp|Q12860|CNTN1_HUMAN,Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1,CNTN1,1.2980E+4,1.2540E+4,1.2385E+4
sp|Q14376|GALE_HUMAN,UDP-glucose 4-epimerase OS=Homo sapiens OX=9606 GN=GALE PE=1 SV=2,GALE,1.7523E+4,2.5780E+4,3.6284E+4
sp|Q16740|CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Homo sapiens OX=9606 GN=CLPP PE=1 SV=1",CLPP,1.4964E+5,1.3198E+5,1.1281E+5
sp|Q3ZCW2|LEGL_HUMAN,Galectin-related protein OS=Homo sapiens OX=9606 GN=LGALSL PE=1 SV=2,LGALSL,2.6221E+6,2.5831E+6,2.6088E+6
sp|Q6UY14|ATL4_HUMAN,ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2,ADAMTSL4,1.1078E+5,1.2771E+5,1.2948E+5
sp|Q86YW5|TRML1_HUMAN,Trem-like transcript 1 protein OS=Homo sapiens OX=9606 GN=TREML1 PE=1 SV=2,TREML1,5.9658E+6,5.9294E+6,6.0784E+6
sp|Q8WY64|MYLIP_HUMAN,E3 ubiquitin-protein ligase MYLIP OS=Homo sapiens OX=9606 GN=MYLIP PE=1 SV=2,MYLIP,2.1513E+4,2.3428E+4,3.1551E+4
sp|Q9BVG8|KIFC3_HUMAN,Kinesin-like protein KIFC3 OS=Homo sapiens OX=9606 GN=KIFC3 PE=1 SV=4,KIFC3,4.1178E+4,3.9725E+4,4.1856E+4
sp|Q9H2U1|DHX36_HUMAN,ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2,DHX36,4.3932E+3,4.4126E+3,3.5140E+3
sp|Q9H7P6|MB12B_HUMAN,Multivesicular body subunit 12B OS=Homo sapiens OX=9606 GN=MVB12B PE=1 SV=2,MVB12B,7.0354E+3,4.4369E+3,4.4425E+3
sp|Q9H9A6|LRC40_HUMAN,Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1,LRRC40,2.8543E+5,2.7871E+5,2.1343E+5
sp|Q9NPY3|C1QR1_HUMAN,Complement component C1q receptor OS=Homo sapiens OX=9606 GN=CD93 PE=1 SV=3,CD93,2.9790E+6,2.9703E+6,3.1991E+6
sp|Q9NYU2|UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3,UGGT1,3.0869E+6,3.0397E+6,3.0838E+6
sp|Q9UHF0|TKNK_HUMAN,Tachykinin-3 OS=Homo sapiens OX=9606 GN=TAC3 PE=1 SV=1,TAC3,8.6431E+3,5.9475E+3,#N/A
sp|Q9UKA8|RCAN3_HUMAN,Calcipressin-3 OS=Homo sapiens OX=9606 GN=RCAN3 PE=1 SV=1,RCAN3,3.9754E+4,3.1065E+4,2.0871E+4
sp|Q9Y6K0|CEPT1_HUMAN,Choline/ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=CEPT1 PE=1 SV=1,CEPT1,9.6543E+4,5.6831E+4,7.8855E+4
sp|O60313|OPA1_HUMAN,"Dynamin-like GTPase OPA1, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",OPA1,6.7901E+5,7.0645E+5,6.7278E+5
sp|P18859|ATP5J_HUMAN,"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PF PE=1 SV=1",ATP5PF,6.9170E+5,7.0390E+5,7.2550E+5
sp|P22891|PROZ_HUMAN,Vitamin K-dependent protein Z OS=Homo sapiens OX=9606 GN=PROZ PE=1 SV=2,PROZ,1.7114E+8,1.7002E+8,1.7709E+8
sp|P23368|MAOM_HUMAN,"NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1",ME2,2.3850E+6,2.5206E+6,2.4014E+6
sp|P51571|SSRD_HUMAN,Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,SSR4,7.3098E+5,6.0061E+5,7.3173E+5
sp|Q13332|PTPRS_HUMAN,Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens OX=9606 GN=PTPRS PE=1 SV=3,PTPRS,2.1250E+4,3.2147E+4,2.8799E+4
sp|Q13496|MTM1_HUMAN,Myotubularin OS=Homo sapiens OX=9606 GN=MTM1 PE=1 SV=2,MTM1,6.4536E+5,6.2153E+5,6.4691E+5
sp|Q6IA69|NADE_HUMAN,Glutamine-dependent NAD(+) synthetase OS=Homo sapiens OX=9606 GN=NADSYN1 PE=1 SV=3,NADSYN1,1.0105E+6,1.6034E+6,1.7087E+6
sp|Q6P587|FAHD1_HUMAN,"Oxaloacetate tautomerase FAHD1, mitochondrial OS=Homo sapiens OX=9606 GN=FAHD1 PE=1 SV=3",FAHD1,1.9716E+4,1.7480E+4,5.7843E+3
sp|Q7L5Y1|ENOF1_HUMAN,Mitochondrial enolase superfamily member 1 OS=Homo sapiens OX=9606 GN=ENOSF1 PE=1 SV=1,ENOSF1,6.3120E+4,4.5893E+4,3.4364E+4
sp|Q8NCJ5|SPRY3_HUMAN,SPRY domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SPRYD3 PE=1 SV=2,SPRYD3,9.2871E+3,#N/A,1.8730E+4
sp|Q8NHZ8|CDC26_HUMAN,Anaphase-promoting complex subunit CDC26 OS=Homo sapiens OX=9606 GN=CDC26 PE=1 SV=1,CDC26,1.4658E+4,1.0582E+4,9.2170E+3
sp|Q92616|GCN1_HUMAN,Stalled ribosome sensor GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7,GCN1,3.6021E+5,4.1303E+5,3.2916E+5
sp|Q9BX59|TPSNR_HUMAN,Tapasin-related protein OS=Homo sapiens OX=9606 GN=TAPBPL PE=1 SV=2,TAPBPL,1.0118E+5,1.2423E+5,1.3422E+5
sp|Q9NP92|RT30_HUMAN,Large ribosomal subunit protein mL65 OS=Homo sapiens OX=9606 GN=MRPS30 PE=1 SV=2,MRPS30,2.5992E+4,8.2269E+3,2.4676E+4
