Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|P08238|HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HSP90AB1,6.1770E+6,6.1196E+6,6.0489E+6,4.6894E+6,4.5358E+6,4.6113E+6,3.7664E+6,3.2758E+6,3.4986E+6,2.6384E+6,2.5295E+6,2.3849E+6,1.3537E+6,1.3051E+6,1.1627E+6,1.2975E+6,1.2351E+6,1.2012E+6,1.0623E+6,1.0737E+6,9.7906E+5,9.7781E+5,9.8870E+5,9.4618E+5,8.0671E+5,8.1832E+5,7.6517E+5,8.8331E+5,8.4083E+5,6.9261E+5,8.6285E+5,8.0964E+5,7.1097E+5,8.0905E+5,8.3914E+5,7.3651E+5,7.9007E+5,7.7187E+5,7.4233E+5,7.9076E+5,8.0617E+5,5.8747E+5
sp|P08581|MET_HUMAN,Hepatocyte growth factor receptor OS=Homo sapiens OX=9606 GN=MET PE=1 SV=4,MET,#N/A,3.6830E+3,2.6306E+3,#N/A,#N/A,#N/A,#N/A,#N/A,2.4458E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P27105|STOM_HUMAN,Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,STOM,1.2801E+7,1.3494E+7,1.3048E+7,1.0393E+7,9.6392E+6,9.6411E+6,7.3101E+6,7.4850E+6,7.7208E+6,4.6827E+6,5.4116E+6,4.3220E+6,1.5562E+6,1.5865E+6,1.4666E+6,1.3696E+6,1.1762E+6,1.2850E+6,8.5071E+5,8.9588E+5,7.7059E+5,5.3281E+5,5.3724E+5,5.7322E+5,1.3494E+5,1.4968E+5,1.9548E+5,1.3490E+5,1.0974E+5,1.1208E+5,7.3956E+4,9.6901E+4,9.0089E+4,5.9484E+4,3.8649E+4,5.0384E+4,#N/A,#N/A,3.2956E+3,#N/A,#N/A,#N/A
sp|P41250|GARS_HUMAN,Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,GARS1,5.4670E+5,5.4471E+5,4.9793E+5,3.4881E+5,3.1325E+5,3.1891E+5,3.1890E+5,2.5686E+5,2.4716E+5,1.7913E+5,1.4875E+5,1.0108E+5,3.3806E+4,1.4219E+4,1.4736E+4,7.5660E+3,7.7002E+3,1.5344E+4,7.9116E+3,3.5429E+3,3.3637E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q00765|REEP5_HUMAN,Receptor expression-enhancing protein 5 OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=3,REEP5,3.2249E+5,1.9217E+5,2.9706E+5,2.6375E+5,1.9891E+5,2.1656E+5,1.8374E+5,1.7100E+5,1.5862E+5,1.2265E+5,1.2070E+5,9.8802E+4,4.1574E+4,4.1932E+4,2.8423E+4,2.7745E+4,2.7276E+4,2.3649E+4,2.5738E+4,2.5612E+4,1.3570E+4,1.4561E+4,7.9234E+3,2.5677E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15181|IPYR_HUMAN,Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,PPA1,2.6348E+5,2.2835E+5,2.4715E+5,2.1519E+5,1.6912E+5,2.2196E+5,1.1801E+5,8.3354E+4,1.7069E+5,9.4073E+4,7.7805E+4,6.6004E+4,1.6768E+4,9.9708E+3,1.1072E+4,1.2288E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N0X4|CLYBL_HUMAN,"Citramalyl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=CLYBL PE=1 SV=2",CLYBL,2.8739E+3,4.0882E+3,3.5227E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N2U9|S66A2_HUMAN,Solute carrier family 66 member 2 OS=Homo sapiens OX=9606 GN=SLC66A2 PE=1 SV=1,SLC66A2,2.1736E+4,2.2715E+4,2.8575E+4,1.5640E+4,7.2580E+3,1.1557E+4,5.9763E+3,4.7385E+3,5.6630E+3,4.5513E+3,#N/A,6.3299E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8NBZ7|UXS1_HUMAN,UDP-glucuronic acid decarboxylase 1 OS=Homo sapiens OX=9606 GN=UXS1 PE=1 SV=1,UXS1,1.9186E+5,1.3487E+5,2.5841E+5,8.7196E+4,7.3123E+4,7.5925E+4,1.0504E+5,3.7623E+4,7.4090E+4,1.8954E+4,2.0265E+4,1.8299E+4,#N/A,1.4291E+3,7.1591E+3,6.4507E+3,#N/A,#N/A,1.0482E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8WUJ1|NEUFC_HUMAN,Neuferricin OS=Homo sapiens OX=9606 GN=CYB5D2 PE=1 SV=1,CYB5D2,8.7121E+3,6.9513E+3,3.0384E+3,#N/A,2.1146E+3,2.8467E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96NZ9|PRAP1_HUMAN,Proline-rich acidic protein 1 OS=Homo sapiens OX=9606 GN=PRAP1 PE=1 SV=2,PRAP1,6.2316E+4,7.4238E+4,6.8020E+4,6.4698E+4,4.5209E+4,3.0531E+4,4.0454E+4,2.8227E+4,2.7825E+4,1.2871E+4,1.6237E+4,1.6342E+4,6.7548E+3,0.0000E+0,1.3033E+3,8.3790E+2,2.1479E+3,1.3767E+3,2.9415E+2,1.1470E+3,7.6402E+2,2.5440E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BZW5|TM6S1_HUMAN,Transmembrane 6 superfamily member 1 OS=Homo sapiens OX=9606 GN=TM6SF1 PE=1 SV=2,TM6SF1,8.1374E+4,8.8795E+4,1.0083E+5,5.1912E+4,5.2560E+4,5.7795E+4,5.1285E+4,5.2184E+4,4.5731E+4,#N/A,1.7699E+4,1.7969E+4,3.7200E+3,9.5956E+3,3.4042E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H330|TM245_HUMAN,Transmembrane protein 245 OS=Homo sapiens OX=9606 GN=TMEM245 PE=1 SV=3,TMEM245,4.2336E+4,3.8015E+4,3.7260E+4,3.7573E+4,3.3641E+4,2.5155E+4,1.5433E+4,2.9765E+4,1.9906E+4,1.5238E+4,8.1405E+3,7.5776E+3,#N/A,#N/A,3.7719E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H6S0|YTDC2_HUMAN,3'-5' RNA helicase YTHDC2 OS=Homo sapiens OX=9606 GN=YTHDC2 PE=1 SV=2,YTHDC2,6.2056E+4,9.0196E+4,7.4883E+4,3.2125E+4,5.9802E+4,5.7075E+4,6.1649E+3,1.7745E+4,1.4605E+4,#N/A,1.1981E+4,8.1678E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H6U6|BCAS3_HUMAN,BCAS3 microtubule associated cell migration factor OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3,BCAS3,4.0097E+4,#N/A,5.0818E+4,3.5574E+4,6.5397E+3,5.8539E+4,4.6272E+4,#N/A,5.6582E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HAV7|GRPE1_HUMAN,"GrpE protein homolog 1, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL1 PE=1 SV=2",GRPEL1,2.2252E+4,3.0578E+4,3.6225E+4,2.1388E+4,1.8251E+4,1.5973E+4,1.6792E+3,1.9602E+4,1.2622E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HB19|PKHA2_HUMAN,Pleckstrin homology domain-containing family A member 2 OS=Homo sapiens OX=9606 GN=PLEKHA2 PE=1 SV=3,PLEKHA2,4.7429E+3,5.4182E+3,5.3892E+3,#N/A,6.0318E+3,3.9330E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NZL9|MAT2B_HUMAN,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1,MAT2B,2.0342E+5,1.9079E+5,1.4255E+5,1.2139E+5,1.0071E+5,1.2494E+5,7.0461E+4,9.1277E+4,6.6336E+4,4.7109E+4,8.7957E+4,4.3902E+4,1.3033E+4,8.7518E+3,6.2394E+3,5.0307E+3,2.4374E+3,1.7805E+3,#N/A,3.6290E+3,3.0879E+3,#N/A,1.7600E+3,3.1864E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9P1Z2|CACO1_HUMAN,Calcium-binding and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CALCOCO1 PE=1 SV=2,CALCOCO1,1.3155E+6,1.2039E+6,1.1722E+6,8.3310E+5,8.7322E+5,8.0940E+5,5.8324E+5,5.1450E+5,6.1157E+5,4.0096E+5,3.7951E+5,2.7639E+5,6.2941E+4,7.3297E+4,6.1233E+4,3.6094E+4,4.4808E+4,5.2533E+4,1.3862E+4,1.5308E+4,3.8938E+4,1.9778E+3,#N/A,6.9364E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UKW4|VAV3_HUMAN,Guanine nucleotide exchange factor VAV3 OS=Homo sapiens OX=9606 GN=VAV3 PE=1 SV=1,VAV3,1.9410E+5,1.7561E+5,1.5882E+5,9.4498E+4,1.0256E+5,6.5236E+4,6.0687E+4,3.4936E+4,5.4093E+4,3.4778E+4,2.8476E+4,4.3995E+4,3.1997E+3,4.5340E+3,1.1300E+3,5.3522E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A0A075B6K0|LV316_HUMAN,Immunoglobulin lambda variable 3-16 OS=Homo sapiens OX=9606 GN=IGLV3-16 PE=1 SV=2,IGLV3-16,9.9201E+5,8.2794E+5,8.2809E+5,5.1721E+5,5.2458E+5,5.7563E+5,4.0919E+5,4.1524E+5,4.0705E+5,1.7148E+5,2.2915E+5,2.0544E+5,5.4123E+4,6.1851E+4,5.5836E+4,4.3697E+4,5.6655E+4,4.4892E+4,4.9820E+4,2.7387E+4,2.8562E+4,1.7209E+4,2.3930E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A7KAX9|RHG32_HUMAN,Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1,ARHGAP32,5.3897E+3,4.9689E+3,5.0176E+3,3.6741E+3,1.8054E+3,3.4739E+3,#N/A,2.8801E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O00391|QSOX1_HUMAN,Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3,QSOX1,3.0900E+6,3.8453E+6,3.4242E+6,2.5153E+6,2.0895E+6,2.4226E+6,1.5526E+6,2.0156E+6,1.5760E+6,9.7685E+5,1.2662E+6,8.6449E+5,3.3171E+5,3.3716E+5,2.6630E+5,2.6298E+5,1.6215E+5,2.1216E+5,1.4606E+5,1.5911E+5,8.8246E+4,1.9111E+4,6.4696E+4,4.1434E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O00629|IMA3_HUMAN,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,KPNA4,5.5017E+4,3.9849E+4,5.7160E+4,5.8843E+4,3.3313E+4,4.3966E+4,6.1970E+4,3.5265E+4,3.3804E+4,4.0969E+4,6.5936E+4,4.4758E+4,4.2610E+4,4.5797E+4,2.4967E+4,4.2744E+4,4.4565E+4,3.5669E+4,3.0679E+4,3.8551E+4,3.3657E+4,2.5518E+4,4.0962E+4,2.5946E+4,4.4240E+4,2.0713E+4,2.6024E+4,8.6383E+3,3.9637E+4,1.4727E+4,2.9869E+4,3.9219E+4,2.4888E+4,3.2463E+4,3.8089E+4,3.6979E+4,3.1782E+4,2.0185E+4,3.6068E+4,4.4326E+4,2.6911E+4,1.8791E+4
sp|P01706|LV211_HUMAN,Immunoglobulin lambda variable 2-11 OS=Homo sapiens OX=9606 GN=IGLV2-11 PE=1 SV=2,IGLV2-11,6.9515E+5,6.1156E+5,5.9656E+5,4.5341E+5,4.3902E+5,4.4313E+5,3.6514E+5,3.4663E+5,3.3772E+5,2.0868E+5,2.3073E+5,2.0868E+5,6.0774E+4,7.6673E+4,6.6555E+4,4.7467E+4,5.9563E+4,3.2360E+4,#N/A,3.5410E+4,3.5941E+4,6.5234E+3,2.2404E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P09172|DOPO_HUMAN,Dopamine beta-hydroxylase OS=Homo sapiens OX=9606 GN=DBH PE=1 SV=3,DBH,4.8691E+4,3.6392E+4,3.6166E+4,2.1862E+4,#N/A,7.6765E+3,#N/A,3.2598E+3,1.1800E+4,#N/A,#N/A,4.8606E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P17066|HSP76_HUMAN,Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2,HSPA6,9.5704E+6,8.9670E+6,8.4072E+6,6.9113E+6,6.0982E+6,6.5864E+6,5.2678E+6,5.1366E+6,4.9915E+6,3.8004E+6,2.3316E+6,3.4917E+6,1.3447E+6,1.2713E+6,1.0599E+6,1.1783E+6,1.0628E+6,1.0230E+6,8.5061E+5,9.0596E+5,7.5007E+5,7.0425E+5,6.8771E+5,5.9509E+5,5.3970E+5,4.7750E+5,3.6756E+5,4.8142E+5,4.4551E+5,3.9763E+5,4.5504E+5,4.4096E+5,3.7851E+5,4.1007E+5,4.1760E+5,4.1214E+5,3.9755E+5,3.9809E+5,3.6807E+5,4.2694E+5,3.7549E+5,3.3783E+5
sp|P31483|TIA1_HUMAN,Cytotoxic granule associated RNA binding protein TIA1 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3,TIA1,2.1911E+4,8.3684E+3,9.4979E+3,9.2897E+3,1.3171E+4,5.4622E+3,9.1024E+3,5.3530E+3,6.3386E+3,2.6288E+3,6.7700E+3,4.5443E+3,4.0944E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q04446|GLGB_HUMAN,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens OX=9606 GN=GBE1 PE=1 SV=3",GBE1,7.6374E+5,6.2429E+5,8.2383E+5,8.8666E+5,9.8492E+5,6.8952E+5,4.5841E+5,8.6754E+5,5.9605E+5,4.3458E+5,1.1888E+5,3.9598E+5,2.5436E+4,1.6150E+4,2.7103E+4,2.1577E+4,1.3856E+4,4.4672E+3,6.8463E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q12904|AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,AIMP1,5.7702E+5,5.9382E+5,4.6990E+5,4.5749E+5,3.6114E+5,4.3736E+5,2.7682E+5,2.7462E+5,2.8540E+5,1.9611E+5,1.2852E+5,1.7605E+5,4.1608E+4,5.2847E+4,2.1464E+4,#N/A,3.2279E+4,7.6015E+3,#N/A,#N/A,#N/A,6.6185E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q3MHD2|LSM12_HUMAN,Protein LSM12 OS=Homo sapiens OX=9606 GN=LSM12 PE=1 SV=2,LSM12,9.7150E+3,5.5597E+3,3.8578E+3,2.5736E+3,8.0260E+3,2.6337E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96EA4|SPDLY_HUMAN,Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2,SPDL1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.0086E+4,1.6916E+4,5.3278E+3,#N/A,#N/A,#N/A,#N/A,4.9931E+3,#N/A,4.5722E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96JN2|CC136_HUMAN,Coiled-coil domain-containing protein 136 OS=Homo sapiens OX=9606 GN=CCDC136 PE=1 SV=3,CCDC136,9.1159E+3,1.0190E+4,#N/A,8.9231E+3,#N/A,7.4853E+3,5.9209E+3,8.4480E+3,6.7666E+3,#N/A,5.7078E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H6U8|ALG9_HUMAN,"Alpha-1,2-mannosyltransferase ALG9 OS=Homo sapiens OX=9606 GN=ALG9 PE=1 SV=2",ALG9,6.3331E+3,8.4092E+3,5.2847E+3,3.5419E+3,3.8798E+3,4.1816E+3,3.5279E+3,#N/A,2.9943E+3,#N/A,#N/A,2.6056E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HCG7|GBA2_HUMAN,Non-lysosomal glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA2 PE=1 SV=2,GBA2,1.5477E+5,1.5768E+5,1.6719E+5,2.0189E+5,1.9698E+5,2.0571E+5,1.2745E+5,6.0824E+4,1.7694E+5,1.7311E+5,8.2717E+4,1.4349E+5,3.5727E+3,1.0964E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NQW7|XPP1_HUMAN,Xaa-Pro aminopeptidase 1 OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=3,XPNPEP1,1.0141E+6,1.1453E+6,9.2541E+5,9.3332E+5,8.2155E+5,6.9904E+5,1.6484E+6,5.4300E+5,6.6633E+5,9.7688E+5,8.1398E+5,7.6048E+5,1.1614E+5,1.7021E+4,3.0080E+4,1.6641E+4,7.8694E+3,3.0222E+4,2.0813E+4,2.0535E+4,6.8619E+3,1.1522E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UEU0|VTI1B_HUMAN,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens OX=9606 GN=VTI1B PE=1 SV=3,VTI1B,2.9319E+5,1.5509E+5,2.0512E+5,1.6444E+5,1.7373E+5,1.6599E+5,1.3609E+5,9.4506E+4,1.3543E+5,1.0052E+5,5.1606E+4,7.5999E+4,7.3271E+3,#N/A,5.9230E+3,5.8971E+3,1.0634E+4,1.1771E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UP65|PA24C_HUMAN,Cytosolic phospholipase A2 gamma OS=Homo sapiens OX=9606 GN=PLA2G4C PE=1 SV=2,PLA2G4C,7.7410E+4,1.1123E+5,9.7859E+4,6.7461E+4,5.7004E+4,7.5963E+4,4.5936E+4,6.5957E+4,3.4981E+4,#N/A,2.3548E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
